"","x"
"83",-0.367931139871289
"84",-0.358104502348683
"85",-0.346612388406701
"86",-0.336852505294851
"87",-0.331294756823948
"88",-0.32912220592864
"89",-0.327663846996772
"90",-0.331453831847462
"91",-0.337691400620946
"92",-0.344443313187193
"93",-0.350684630721192
"94",-0.356072954675191
"95",-0.357735997124861
"96",-0.360177330750476
"97",-0.359229364871354
"98",-0.358032951428816
"99",-0.355426491482727
"100",-0.352243301760316
"101",-0.352995134821684
"102",-0.358445047566322
"103",-0.362278736110648
"104",-0.362016544197317
"105",-0.356556004906996
"106",-0.346401029401054
"107",-0.339733576939817
"108",-0.331995806803178
"109",-0.326536165786862
"110",-0.324071999561461
"111",-0.325479620565565
"112",-0.327295776499099
"113",-0.328858784175382
"114",-0.330835255713818
"115",-0.330525319619158
"116",-0.332533196733441
"117",-0.335383237284573
"118",-0.335338091461498
"119",-0.333942022020053
"120",-0.337450745499893
"121",-0.343924625000976
"122",-0.354911620884086
"123",-0.36912437965767
"124",-0.38056757282631
"125",-0.394752553108148
"126",-0.411098873813282
"127",-0.42690754666866
"128",-0.442632536597643
"129",-0.456857957719385
"130",-0.467455428568292
"131",-0.480509203229179
"132",-0.496511665274523
"133",-0.511693905800863
"134",-0.527530693056671
"135",-0.537602211445589
"136",-0.544639905599222
"137",-0.553138337722493
"138",-0.562887490967022
"139",-0.570772126864342
"140",-0.577737998231012
"141",-0.581945837213741
"142",-0.58429994089429
"143",-0.585458658764272
"144",-0.587657349939457
"145",-0.594014913207932
"146",-0.60161344260268
"147",-0.605370131666252
"148",-0.604894958954245
"149",-0.60366098928308
"150",-0.602496831160671
"151",-0.602554737587342
"152",-0.60433114633177
"153",-0.605956762960387
"154",-0.605692486123667
"155",-0.598609745206003
"156",-0.588556241002219
"157",-0.57524373978167
"158",-0.562144433532186
"159",-0.550192502892377
"160",-0.537099535910183
"161",-0.517431324476653
"162",-0.494470176794764
"163",-0.472500216938382
"164",-0.453589109078322
"165",-0.438379372120499
"166",-0.420456257836824
"167",-0.402796469211435
"168",-0.38415890690862
"169",-0.363512988624108
"170",-0.33886377285058
"171",-0.310480395726841
"172",-0.282723407335257
"173",-0.258813380114484
"174",-0.236937617169324
"175",-0.218784744185237
"176",-0.202913708213772
"177",-0.188351752846716
"178",-0.17648271753324
"179",-0.166897059250113
"180",-0.161868380571236
"181",-0.158367982560858
"182",-0.151377234026515
"183",-0.143133542212666
"184",-0.137320015231162
"185",-0.132537872468834
"186",-0.123597844298817
"187",-0.119245371735986
"188",-0.120700904691706
"189",-0.123648995614473
"190",-0.120544774175643
"191",-0.114590914687891
"192",-0.107390820160316
"193",-0.0992817668700448
"194",-0.0919270031524483
"195",-0.0874204825997307
"196",-0.0858993153507501
"197",-0.0854232725773458
"198",-0.0870493036487717
"199",-0.089222810007501
"200",-0.0886948126542631
"201",-0.0892583800501917
"202",-0.0892169567867896
"203",-0.0878296172347613
"204",-0.08550193639376
"205",-0.0792779302387363
"206",-0.0753283154107788
"207",-0.0720879142253218
"208",-0.0668483032206341
"209",-0.0627996303102463
"210",-0.0616188964265073
"211",-0.0624584292633132
"212",-0.0627191860806287
"213",-0.0611327036039237
"214",-0.0562801549534338
"215",-0.0506192642730411
"216",-0.0479893386297532
"217",-0.049196975431691
"218",-0.0506771897314989
"219",-0.0521592373456541
"220",-0.0573436812606451
"221",-0.066322744065333
"222",-0.076883194266201
"223",-0.0918068638407181
"224",-0.109681545712384
"225",-0.128465879921984
"226",-0.147136081368034
"227",-0.162242413954578
"228",-0.176270425278407
"229",-0.187232667296309
"230",-0.195698176410239
"231",-0.204236347381846
"232",-0.208572052392822
"233",-0.209017350189963
"234",-0.208666445531166
"235",-0.210569845532066
"236",-0.215037157333987
"237",-0.216643448670041
"238",-0.216257134384788
"239",-0.212903589033436
"240",-0.211721171267914
"241",-0.208803477751769
"242",-0.20464322142617
"243",-0.200479416710638
"244",-0.196202132108608
"245",-0.190904691448838
"246",-0.181949981147005
"247",-0.170729919590421
"248",-0.15861544829693
"249",-0.146589115521192
"250",-0.134568233339733
"251",-0.118791290332094
"252",-0.10653257592716
"253",-0.0961912924246234
"254",-0.0856556857786287
"255",-0.0768322023043298
"256",-0.0661837142284235
"257",-0.0562350369703328
"258",-0.0451992666456629
"259",-0.0418675809749896
"260",-0.0464500071678828
"261",-0.0465154991103497
"262",-0.0446457868963561
"263",-0.0434469177324032
"264",-0.0392677847799534
"265",-0.0346870343965532
"266",-0.0298916893315349
"267",-0.0285941431658778
"268",-0.0295518682348469
"269",-0.0307356162829901
"270",-0.034405755158149
"271",-0.0389497719485701
"272",-0.0464940912789724
"273",-0.0519590427948805
"274",-0.0516224007807683
"275",-0.0482365476152446
"276",-0.0420657800697116
"277",-0.0361597526759328
"278",-0.0333894331731633
"279",-0.030763529847329
"280",-0.0276849059848518
"281",-0.0257681236461367
"282",-0.020142167314488
"283",-0.0115606834456395
"284",-0.00410031472293575
"285",0.00281258565538061
"286",0.00777552562424651
"287",0.0145526116675419
"288",0.0264992673112814
"289",0.0387944795428185
"290",0.0449548152136647
"291",0.050054225659038
"292",0.0519297277107123
"293",0.0549673396036311
"294",0.0574445453985159
"295",0.0600094082282899
"296",0.0645489836286906
"297",0.0697593332872198
"298",0.0785065725218145
"299",0.0884262363727159
"300",0.0984207912704766
"301",0.111268884956285
"302",0
"303",0.00228697414520492
"304",0.0204228002749909
"305",0.0552697168511266
"306",0.095524886955703
"307",0.13532558811942
"308",0.17354088676661
"309",0.202864748558481
"310",0.254991615547819
"311",0.302307076628027
"312",0.336104207283356
"313",0.357762906992474
"314",0.374234967103954
"315",0.395053054168259
"316",0.432427419419015
"317",0.462706380182642
"318",0.492224545423294
"319",0.524276724863193
"320",0.567629811540951
"321",0.60713657686714
"322",0.64833808137873
"323",0.682463454173029
"324",0.707340030809556
"325",0.723830471175849
"326",0.721615416628953
"327",0.709227552140063
"328",0.687034010699942
"329",0.67550107327235
"330",0.675740382858574
"331",0.668088110971518
"332",0.662878796714417
"333",0.669873427667912
"334",0.670698664930235
"335",0.669423302068507
"336",0.673209866115651
"337",0.689797258683573
"338",0.713840617512507
"339",0.743146002134853
"340",0.754158719322719
"341",0.758829357288763
"342",0.778758280151595
"343",0.792581607597744
"344",0.782354968214931
"345",0.773520665093416
"346",0.775013490577234
"347",0.789833543098977
"348",0.811871483589034
"349",0.834013160823885
"350",0.866477107424033
"351",0.896822588240195
"352",0.932667949981592
"353",0.962168489562739
"354",0.994147951885579
"355",1.0119909747429
"356",1.0200766444744
"357",1.02617038742021
"358",1.03147416564628
"359",1.0457856292733
"360",1.05725152695325
"361",1.06247267063524
"362",1.06129878726466
"363",1.07137460379225
"364",1.09539776887688
"365",1.11866338396855
"366",1.13906153062043
"367",1.14819028930015
"368",1.14953080410815
"369",1.15090364812649
"370",1.16045608310737
"371",1.16475817042724
"372",1.17359123713141
"373",1.19103418062073
"374",1.21556456278521
"375",1.23760255447656
"376",1.24516738688593
"377",1.25174490663767
"378",1.25547107323237
"379",1.26847338316734
"380",1.28048431898544
"381",1.28605136539094
"382",1.28581905354206
"383",1.28235072044013
"384",1.30301378072703
"385",1.33483754272832
"386",1.35586554589623
"387",1.37264882624055
"388",1.37554704576342
"389",1.37698103391994
"390",1.37432924954732
"391",1.36192536789617
"392",1.35465214347013
"393",1.35716650373386
"394",1.35805697986174
"395",1.35196573906678
"396",1.36147002067169
"397",1.36704937571913
"398",1.38353093631031
"399",1.4125958712791
"400",1.45667626786147
"401",1.51382841069528
"402",1.5582826228862
"403",1.59402362799733
"404",1.63990203707
"405",1.68877104947022
"406",1.74769466497691
"407",1.79489237090077
"408",1.82629703396847
"409",1.85433637888022
"410",1.890215051297
"411",1.92701956618797
"412",1.961329642146
"413",2.00300670897615
"414",2.03097565214469
"415",2.04079085609949
"416",2.05477616599665
"417",2.08094400263977
"418",2.09711178376287
"419",2.1083721596703
"420",2.1163021498315
"421",2.12054101931312
"422",2.12604941597764
"423",2.12832374345994
"424",2.1304117358188
"425",2.13031459876733
"426",2.14033516150208
"427",2.14597450825426
"428",2.13996135330524
"429",2.120629717029
"430",2.10510784487056
"431",2.09143685260523
"432",2.08537852232528
"433",2.09354842762552
"434",2.11360518545739
"435",2.14027793675748
"436",2.16594188940432
"437",2.18998000018326
"438",2.19776293288476
"439",2.19022645823555
"440",2.17928755035561
"441",2.1609625572936
"442",2.14704667455636
"443",2.14351248296693
"444",2.13916593521049
"445",2.1308742540347
"446",2.10351231191877
"447",2.06503628234222
"448",2.04005960749176
"449",2.02225477991901
"450",2.00325680107119
"451",1.98963482878846
"452",1.98055727294328
"453",1.97288799845842
"454",1.96477603714051
"455",1.9592561628589
"456",1.96340723255433
"457",1.98015531134145
"458",1.98502222566413
"459",2.00581055765588
"460",2.0434553697326
"461",2.08479342948654
"462",2.12566133412556
"463",2.15377218121533
"464",2.18009714837385
"465",2.20144451011149
"466",2.22151997500138
"467",2.25469762194099
"468",2.27216059206854
"469",2.29738091722751
"470",2.32038492832282
"471",2.36015519297058
"472",2.39844690918966
"473",2.44201529625689
"474",2.47866566651695
"475",2.52189065878217
"476",2.56963446147909
"477",2.60881541547296
"478",2.64818285223933
"479",2.67346573105295
"480",2.68231307836665
"481",2.68585026646759
"482",2.67527610560949
"483",2.65925474675929
"484",2.6486035867117
"485",2.62930865928669
"486",2.60071530392765
"487",2.57787831975363
"488",2.5502906170947
"489",2.53642456307805
"490",2.53498039487147
"491",2.54720558539576
"492",2.55404186820499
"493",2.56639904105553
"494",2.57974152520141
"495",2.57706695567557
"496",2.56361540566061
"497",2.54069355738738
"498",2.49798914605743
"499",2.46110351266147
"500",2.41997877736965
"501",2.38593507515244
"502",2.35768847315498
"503",2.33347842799805
"504",2.31107893970605
"505",2.29172370852496
"506",2.27729599066028
"507",2.26325368411811
"508",2.24866961414591
"509",2.2581015441895
"510",2.27890307421712
"511",2.30519745708419
"512",2.31779042253434
"513",2.33188211539936
"514",2.3557361432924
"515",2.36930589312756
"516",2.368687559982
"517",2.36655534472263
"518",2.38071949122171
"519",2.40064914446305
"520",2.41609208601922
"521",2.40992349991674
"522",2.38405867305419
"523",2.35357685134471
"524",2.31267834598694
"525",2.28163300882074
"526",2.26090659830486
"527",2.22693015583406
"528",2.20310540278645
"529",2.17950557552953
"530",2.16419584404205
"531",2.16200370730983
"532",2.1502479022695
"533",2.13878990656978
"534",2.12871961786028
"535",2.1111960978876
"536",2.09371862332711
"537",2.0719907186391
"538",2.03675463666713
"539",2.01762685964661
"540",2.01597775773027
"541",2.02502140198857
"542",2.04727256884635
