time,lon,lat,alt
105.0,9.211798624,47.64864277,403.0549367
105.5,9.210632539,47.64764546,405.0400163
106.0,9.209641335,47.64679767,407.2091665
106.5,9.208008865,47.64540133,416.9518974
107.5,9.206026768,47.64370579,421.6259586
108.0,9.205327163,47.6431073,427.8314558
109.0,9.203296947,47.6423814,427.2445292
109.5,9.202822183,47.64257859,417.2559425
110.5,9.201397764,47.64317021,420.3717716
111.0,9.200883375,47.64338385,429.4319062
111.5,9.200448081,47.64356463,432.2805457
113.5,9.19946182,47.64412312,418.3387484
114.0,9.199492645,47.64413316,421.4877359
114.5,9.199569706,47.64415824,429.7572942
115.5,9.199754662,47.64421846,436.7869702
116.0,9.199816309,47.64423853,434.0765382
116.5,9.199901081,47.64426613,429.9136567
117.0,9.19997044,47.64428871,427.9018318
117.5,9.200032091,47.64430878,432.7930623
119.0,9.200263279,47.64438404,416.9449638
