time,lon,lat,alt
0.0,9.189274837,47.63188633,500.455649
0.5,9.190120873,47.63110131,502.7142833
1.5,9.19220352,47.62916873,503.1119536
2.0,9.192789274,47.62862515,504.2196587
3.0,9.195229608,47.62636038,496.0829663
6.5,9.194552445,47.62982201,507.7378042
8.0,9.196709572,47.62489835,499.2777019
8.5,9.19396943,47.62476535,502.9588649
9.5,9.189036944,47.62452577,497.6396784
10.5,9.186650549,47.62662309,499.959366
12.0,9.189402217,47.63330392,503.213109
12.5,9.191794314,47.63332558,501.6035566
13.0,9.192808751,47.63325944,494.353599
13.5,9.195852646,47.63306094,500.1031939
14.5,9.20117905,47.6327134,511.2639983
15.0,9.204983385,47.63246502,475.0671375
16.5,9.20563082,47.63706913,432.4734684
17.0,9.204520693,47.6413146,424.5337755
18.0,9.20418211,47.64685719,425.3214555
18.5,9.205318362,47.64882254,431.6592055
19.0,9.20771739,47.65297157,437.4316856
19.5,9.209359046,47.65581034,437.7981259
20.0,9.210621987,47.65799403,441.3313188
20.5,9.213274473,47.66257963,445.7953774
23.0,9.225825987,47.67462447,452.8928539
24.5,9.236249653,47.68057803,471.4381462
25.5,9.24403664,47.68502413,456.6023215
26.5,9.24889719,47.68847532,447.4196406
27.0,9.250362414,47.69075864,460.2696207
28.0,9.253106327,47.69500047,484.9327942
28.5,9.255579762,47.69592502,490.7943625
29.0,9.262730631,47.69681436,506.0457561
29.5,9.265973858,47.69817597,519.6505653
30.0,9.267053955,47.70432048,539.5693599
30.5,9.26742437,47.70688062,547.8008515
31.0,9.271328967,47.70999633,571.2877817
32.0,9.277886472,47.71355313,600.4441038
32.5,9.27988874,47.71722284,597.740195
33.0,9.280270739,47.71866717,582.2294031
33.5,9.281162121,47.7220372,553.0942136
34.0,9.281480496,47.72324076,551.3731536
34.5,9.282524148,47.72611797,558.832221
35.0,9.284318652,47.72931798,561.132726
35.5,9.286188523,47.73257329,543.1166201
36.0,9.287310407,47.73452619,541.2191791
36.5,9.289925166,47.73893397,548.9596901
37.0,9.291043182,47.74056017,545.3172678
38.5,9.297770182,47.75014885,562.2461783
39.5,9.300760748,47.75441035,577.6682416
40.0,9.303539322,47.75782311,580.0530865
40.5,9.306687471,47.75944524,583.059263
41.0,9.30938114,47.76069263,585.1829768
41.5,9.314383926,47.76300898,593.371496
42.0,9.318232676,47.7647907,597.2081042
42.5,9.322081215,47.7665721,597.3266789
44.5,9.338249865,47.77405336,622.0753152
45.0,9.342107104,47.77583189,623.5979893
45.5,9.345051203,47.77668345,620.8955857
46.0,9.347751516,47.77730861,623.080996
47.0,9.353260511,47.77858378,638.865364
48.5,9.364279059,47.78113325,643.7206232
49.5,9.371456621,47.78278127,637.8672212
50.0,9.373432587,47.7826676,637.3908953
50.5,9.375470454,47.78229417,627.5978186
51.0,9.378107659,47.78181086,612.655359
51.5,9.380984489,47.78128355,598.3229041
52.0,9.382422898,47.78101986,594.3056835
53.0,9.388415879,47.77992102,556.4969598
53.5,9.39033393,47.77956926,527.8114385
55.5,9.399730261,47.7775823,536.465298
56.0,9.397470935,47.77646379,552.968697
56.5,9.394647224,47.77506577,569.3971844
